partner,geo\time,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
ASI,HU,: ,: ,57277,42541,: u,92055,: u,60082,60410,68199,74874,101379
ASI,IE,55000,79000,75000,115000,146000,127000,98000,129000,102000,152659,115932,155952
ASI,IT,282299,391024,533870,486240,513094,811679,987907,659732,532961,501162,454276,553149 bu
ASI,LT,: ,1793,5525,9157,12015,15604,: u,: u,: u,18117,16664,: 
ASI,LU,17000,18000,20000,20000,19167,25514,27794,36583,26117,33912,49180,39426
ASI,LV,2268,2734,6532,20131,25708,28340,22464,23208,14781,: u,: u,38111 u
ASI,MT,: ,: ,: ,: ,815 e,: ,6439,6876,5174,8930,9426,: 
ASI,NL,: ,: ,: ,: ,: ,: ,: ,: ,: ,604951 b,565970,: 
ASI,NO,: ,212245,221665,272042,252982,359202,246910,369491,341776,: ,: ,: 
ASI,PL,: ,78000 e,28000,: ,78000,65000,: ,66000,60400 e,: u,: u,: 
ASI,PT,: ,: ,: ,: ,34930,: u,31748,52879,32124,23414 u,29046 u,: 
ASI,RO,: ,: ,6217,12690,: ,5094,8547,: ,: ,: u,: u,: 
ASI,SE,: ,: ,: ,622000,711000,738000,740000,749000,723000,: ,: ,: 
ASI,SI,: u,: u,: u,: u,: u,: u,: u,: u,: u,19433 u,29292 u,: 
ASI,SK,34972,33176,36639,60096,63303,54863,63255,42421,62296,: u,: u,: 
ASI,UK,1409640,1865446,1970477,3646337,3641599,3844364,3562318,3205005,3652275,3997813,3918027,: 
ASI_OTH,AT,: ,212287,220878 e,248948 e,236805,293177,275207,: u,235224,429742,327976,: 
ASI_OTH,BE,112474,210555,98035,112181,197039,165226,185479,180173,207137,123505,213772,: 
ASI_OTH,BG,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: u,: 
ASI_OTH,CH,: ,: ,: ,: ,: ,: u,: u,: u,: u,327773 u,416459,: 
